Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,287.52,373.31,31.8,3.74,Electricity Maps Estimation; eia.gov,False,
2021-02-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,290.54,378.35,29.79,3.74,eia.gov,False,
2021-03-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,286.6,373.96,30.65,4.65,eia.gov,False,
2021-04-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,307.94,400.65,25.86,5.19,eia.gov,False,
2021-05-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,308.94,402.49,24.6,5.43,eia.gov,False,
2021-06-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,310.06,402.77,25.17,3.84,Electricity Maps Estimation; eia.gov,False,
2021-07-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,314.56,408.6,24.09,3.94,eia.gov,False,
2021-08-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,331.3,428.29,21.35,3.58,eia.gov,False,
2021-09-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,336.13,435.17,19.69,4.08,eia.gov,False,
2021-10-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,329.02,424.59,22.99,4.69,eia.gov,False,
2021-11-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,297.93,388.34,28.05,4.52,eia.gov,False,
2021-12-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,285.09,372.37,31.02,4.62,eia.gov,False,
2022-01-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,305.82,396.39,27.73,4.59,eia.gov; Electricity Maps Estimation,False,
2022-02-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,287.66,373.93,31.85,6.02,eia.gov,False,
2022-03-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,290.81,381.33,28.0,6.77,eia.gov,False,
2022-04-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,307.25,398.53,27.19,6.1,eia.gov,False,
2022-05-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,296.57,387.61,27.39,5.94,eia.gov; Electricity Maps Estimation,False,
2022-06-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,302.43,396.11,24.94,4.76,eia.gov; Electricity Maps Estimation,False,
2022-07-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,317.29,412.87,23.25,4.79,eia.gov,False,
2022-08-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,325.11,421.35,22.58,4.62,eia.gov,False,
